Date,Algeria,Argentina,Colombia,Kenya,Spain,Sudan
7/06/2020,229.185,486.926,747.3439999999998,48.353,5166.316,133.754
8/06/2020,231.557,504.052,771.1039999999998,51.459,5169.888,138.725
9/06/2020,234.088,522.328,800.2489999999998,53.225,5175.214,142.351
10/06/2020,236.756,547.573,826.9580000000002,55.587,5181.93,142.351
11/06/2020,239.082,574.987,858.4810000000001,57.54,5191.062,146.57
12/06/2020,241.477,605.366,858.4810000000001,59.79,5201.799,153.48
13/06/2020,243.962,636.144,920.899,61.464,5210.269,156.878
14/06/2020,246.516,670.018,958.004,64.291,5217.177,156.878
15/06/2020,249.002,698.3839999999999,1001.103,66.839,5221.049,164.655
16/06/2020,251.556,725.112,1042.846,69.312,5225.733,164.655
17/06/2020,254.201,755.513,1079.558,71.786,5233.326,176.514
18/06/2020,256.961,786.335,1121.124,75.207,5245.838000000002,182.899
19/06/2020,259.629,786.335,1183.443,79.169,5252.404,182.899
20/06/2020,262.343,875.237,1243.562,81.345,5260.1680000000015,189.65
21/06/2020,265.23900000000003,911.39,1289.884,83.279,5267.311,195.67
22/06/2020,268.431,946.372,1349.216,88.11399999999998,5272.273,195.67
23/06/2020,271.829,993.854,1398.958,89.211,5277.578,198.361
24/06/2020,275.387,993.854,1445.909,92.094,5284.721,202.717
25/06/2020,279.309,1102.714,1515.5,96.817,5293.276999999999,202.717
26/06/2020,283.802,1160.374,1584.01,100.128,5302.238,204.884
27/06/2020,289.275,1160.374,1659.536,102.899,,211.11
